index,name,rating,review_count,price,zip_code,id
134,Corner 17,4.0,496,$$,63112,KdAWjL9MKjpJzEeI902qBA
135,The Crossing,4.5,183,$$$,63105,73ZXjIfdHJs59XOzKHQ45g
136,5 Star Burgers,4.0,374,$$,63105,oC91lprbbfzw7DOYiYln7Q
137,Louie's Wine Dive & Clayton Kitchen,4.0,220,$$,63105,I8cL6l-Yu3CyHPXlFmOhtQ
138,Fozzie's Sandwich Emporium,4.0,421,$,63117,chUeS0h9C8KGfyJO2Jqgew
140,The BAO,4.0,153,$$,63105,x8AQIEjSqsW0z4vRyBetbw
141,New Day Gluten Free,4.5,93,$$,63117,qEBL7U0kW4lkptcd_4wWbg
142,The Capital Grille,4.5,115,$$$$,63105,ToH4z1F5Tyuo3p7VhXCpTA
143,Louie,4.5,148,$$,63105,YJVXMOIKhJjQczWj9YTwrg
144,Kaldi's Coffeehouse,4.0,116,$,63105,UWQNx6qZojXlDv1kBAMHug
145,Peno,4.5,118,$$,63105,GJnYFvk9kbM182bKMFSAvg
146,Dewey's Pizza,4.5,210,$$,63130,Tq5jFk_BMSJG8-flqj5Bgw
147,The Original Pancake House,4.0,284,$$,63124,3XXt0s_SDC9SyFTiIPNSgA
148,Three Kings Public House,4.0,481,$$,63130,O_0H42Bw8hBduWSADPG8ng
149,Blueprint Coffee,4.5,316,$$,63130,hv-rci0u6KR75ALB_70dHw
353,Sapporo 2 Sushi& Thai,4.0,188,$$,63103,MWdO8vvXEtswuBM4wOgVzw
356,Turn Restaurant,4.5,111,$$,63103,ZoSDp6Ycoy9H2spud3PYqQ
358,Sweetie Pies Upper Crust,3.5,390,$$,63108,dHS3dwYAGIya7yd1d3J1DA
359,La Mancha Coffeehouse,4.5,33,$,63107,BUmzDaCXu44GNjvtdePVTQ
360,Taste Bar,4.5,519,$$,63108,_gVyuTRb_6HM-SNtqbpevQ
361,Jeni's Splendid Ice Creams,4.5,267,$$,63108,jKHlvwq40sghrR89pF_3Tw
362,Brasserie by Niche,4.5,578,$$,63108,El_2Cxuq4hxqrmlg_5nzzA
363,Retreat Gastropub,4.5,589,$$,63108,oHvEgLH6pAkcrPmeR1l3UQ
364,Sameem Afghan Restaurant,4.5,485,$$,63110,GW-H37yWCNhgWPg9RwKbVA
365,Pi Pizzeria - Central West End,4.0,450,$$,63108,S26FJcC298XNpN2cZiwOrA
366,Café Osage,4.0,375,$$,63108,yvwIsOBQyTDsOhfS1sIVvQ
367,The Scottish Arms,4.0,469,$$,63108,qfABDeMSCirVPeG6BfcUEA
368,The Cup,4.0,303,$,63108,8vwdDagJc8bJR0ZojFGZxw
369,Dressel's Public House,4.0,391,$$,63108,4oe5dLfE283zx0aw6BHKTA
371,El Burro Loco,4.0,393,$$,63108,NJaR_2hke7NNAC6l1Ohr8g
372,2Schae Cafe,4.5,272,$,63108,KWIapYSSHxfZ1NQFpV2S9g
373,Yellowbelly,4.0,230,$$$,63108,YpGPZ-Zg89BsFUWwCXoaBw
374,Blk Mkt Eats,4.5,245,$$,63108,oRe0iraGEsVSNKxcp_hjbw
375,Narwhal's Crafted,4.5,184,$$,63108,5mDneH5wP5VN_7GVe-PudQ
376,Union Loafers Cafe and Bread Bakery,4.5,369,$$,63110,VJ-c-Yjj1qv7dKS5YaYoHg
377,PokeDoke,4.5,153,$$,63108,zun6IVJa7wYe3wAPqWnPGw
378,Sub Zero Vodka Bar,3.5,502,$$,63108,KChWMIHxMChTE11ZVsIVZw
379,Vicia,4.0,233,$$,63108,3VYxaeo6BJNHbVIIfmWN_w
380,Sultān Mediterranean Restaurant,5.0,164,$$,63110,U4DpkzcADkXFZzYaX9smjQ
381,SUSHI KOI,4.5,165,$$,63108,kqt8O-XxMkE6ga42IPa7sA
383,Grace Meat + Three,4.5,353,$$,63110,MuKoTR56s6elHEI2wUkgJA
384,Comet Coffee & Microbakery,4.5,290,$$,63110,P0fHDZn2pReUu7BdMxNuyw
385,The Gramophone,4.5,229,$,63110,Nq1Kn7ud84upBHz9chFW0A
386,Moolah Theatre & Lounge,4.5,190,$$,63108,g6rcVXjeLT6Y_kAFhbbJRg
