,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender
57,0,01eI6pT0doZiu0nm-Gl7RA,L3_vxMZmr6OTeaVfspgcnQ,4,John T.,john,Male
58,1,01eI6pT0doZiu0nm-Gl7RA,2mtKhFQlSEqhTmlE88c4dg,5,Kelsey S.,kelsey,Female
60,0,02sUerL13Wt4Ii2-kDzlow,XW5XC5QpAYczNF1ysxNHQw,5,Lola T.,lola,Female
61,1,02sUerL13Wt4Ii2-kDzlow,Ef4NnEBAzOe1cg8dZbjOVQ,4,Jane L.,jane,Female
62,2,02sUerL13Wt4Ii2-kDzlow,sL7aOB9_i9cacMTSn_VW8Q,4,Carlos L.,carlos,Male
63,0,08KCenrjRbL7vzfHjdGYyg,JOdnZWyjYbXkeYMcSJk4SQ,5,Meagan D.,meagan,Female
65,2,08KCenrjRbL7vzfHjdGYyg,NIZZXjbTHpq_Bc0e9mFdSA,4,Suria R.,suria,Female
66,0,08qoYiDfMS-e5ua2JPiiAA,dgfDWf6UGqK80uIb8qutHA,5,Christina C.,christina,Female
67,1,08qoYiDfMS-e5ua2JPiiAA,Om_-UTRGfUHHeAhSFabAaA,3,Lauren S.,lauren,Female
68,2,08qoYiDfMS-e5ua2JPiiAA,pUvqfyNduqv5KIU2jF10JQ,2,Etienne S.,etienne,Male
69,0,09y5uyX7z41mjoA9fVF1bQ,yXRe2XabTciKpkr7jwSmQg,5,Karen L.,karen,Female
70,1,09y5uyX7z41mjoA9fVF1bQ,FdH9ixCFRBKAGlAAG7QxTA,4,Daniel S.,daniel,Male
71,2,09y5uyX7z41mjoA9fVF1bQ,yfyTA9udPniK58RhflL6HA,4,Nathaniel L.,nathaniel,Male
75,0,0Gx08zPfwP8tI2Hg4r6AGg,6Z6YVixkn972zVo0RBIQpA,5,Gabriella S.,gabriella,Female
78,0,0IWkuFkLzL6lFKRGApZpHg,c-X0upNfZo9hPTANDv65PA,5,Nicole E.,nicole,Female
79,1,0IWkuFkLzL6lFKRGApZpHg,X-wpyLSEHPrk-RVMTBbO7w,2,Brittany G.,brittany,Female
80,2,0IWkuFkLzL6lFKRGApZpHg,qe4voD4MV5gVfYKKpiB8QA,5,Elizabeth R.,elizabeth,Female
81,0,0L03onqNwxWLrbb_FCK79A,6WjgYV3gzy1B-UQUWdEbaQ,5,Darrin N.,darrin,Male
82,1,0L03onqNwxWLrbb_FCK79A,Zhe0jd1TIqFAmxyH8BI5fA,5,Arjun A.,arjun,Male
85,1,0NQdEwoaihf-LIWoeKid-A,U3vnGdsB4VONwWyiRec6vg,4,Tiffany L.,tiffany,Female
