,index,business_id,review_id,rating,name,short name
45,0,0upS_zVQ48_9WuTjxmwRqQ,G2c5XAAs9qCvMw2oinFL6g,5,Jenna N.,jenna
46,1,0upS_zVQ48_9WuTjxmwRqQ,T6fyNET1yqfcaJOVFiHMEg,4,Sally K.,sally
47,2,0upS_zVQ48_9WuTjxmwRqQ,7A_wXRPpj3o05W2naEO95Q,5,Big Mama's M.,big
48,0,1EdfURQCj75UbcLPh9rdSw,_o1Xdn8tPVbS8CH5RTpdGQ,4,Ed C.,ed
49,1,1EdfURQCj75UbcLPh9rdSw,T7PLRzSkBTRB8vvdf54-EA,1,Hollie K.,hollie
50,2,1EdfURQCj75UbcLPh9rdSw,iXYKGTqWT0KCoHJjh2W3ww,5,Marilyn H.,marilyn
51,0,1HRAmY7rTMKaY9-rNrppzg,yGkjYpqm4QpT_LhHpTpWRQ,5,Derek D.,derek
52,1,1HRAmY7rTMKaY9-rNrppzg,PesKClOWnsdi4PHnKo9UAQ,1,Erin M.,erin
53,2,1HRAmY7rTMKaY9-rNrppzg,cxNGrh8F13fW3IOJL4FHEg,4,Mark S.,mark
54,0,1KhNDQSdDqzPQaZk8PIdGg,JT5kppO_fW_Qg2W-Zpns0Q,5,Soham D.,soham
55,1,1KhNDQSdDqzPQaZk8PIdGg,he8pA6RPYKSvFf_UPTOhqQ,3,Joan G.,joan
56,2,1KhNDQSdDqzPQaZk8PIdGg,jtA_fMasiust9CU9ww1HQA,5,Lori E.,lori
57,0,1Mc_Reqnxhs0eHQFAhXVUQ,X4y4tN9fXDIO6T0PZxNtqA,5,Danielle W.,danielle
58,1,1Mc_Reqnxhs0eHQFAhXVUQ,B2vtv4rpEdfSTlxbPfhh2g,5,Brittany S.,brittany
59,2,1Mc_Reqnxhs0eHQFAhXVUQ,3CavzAk67fE0QaLLddWHBg,4,Dave D.,dave
60,0,1XsoLhxLB7-iyxaLpoEmUg,47hK7yBXICBb4U_G4mcQQQ,5,Nyles S.,nyles
61,1,1XsoLhxLB7-iyxaLpoEmUg,OQx4yQCZTsOQPTaebvPZKw,5,Amber D.,amber
62,2,1XsoLhxLB7-iyxaLpoEmUg,1Ec4aeV-w2FNQTtbQzHkFw,5,Kelly P.,kelly
63,0,1YflE3DkiCZGgLnf3paLnA,U5wBh844bsumKLTmV_5maw,5,Mary Kate A.,mary
64,1,1YflE3DkiCZGgLnf3paLnA,--FWSqAYJiBBGSaU2uoLgQ,5,Nancy P.,nancy
65,2,1YflE3DkiCZGgLnf3paLnA,TUBLU49kB15rvlxxYk7Pjg,5,Staci W.,staci
66,0,1dF6hKCLrdEPDOWcwrXgOA,-7IwtqRQdrvceM05Ov88uw,1,Mike C.,mike
67,1,1dF6hKCLrdEPDOWcwrXgOA,OjLvSymGF0RmPJxBNRc_Pw,5,Bill R.,bill
68,2,1dF6hKCLrdEPDOWcwrXgOA,hdp4tTwJN7Ln3K9v7tPP9w,1,Wendy C.,wendy
69,0,1elddy31XiqFPVrvvd9QiQ,jdRxQu--Py2dkpf9eTDJdw,4,Rag R.,rag
70,1,1elddy31XiqFPVrvvd9QiQ,ArdtmDbkrDA0WuKUeAh85w,1,Brittney P.,brittney
71,2,1elddy31XiqFPVrvvd9QiQ,a92rR5coT3flDkZjjgJfGg,1,Audrey P.,audrey
72,0,1lWASQ_QiT_RFPEeSvyF5w,MVZPAyHPZPl_j6iJQyW2nw,3,Lloyd C.,lloyd
73,1,1lWASQ_QiT_RFPEeSvyF5w,l2j4QdaHbH8FERpT2OmojA,1,Tasha P.,tasha
74,2,1lWASQ_QiT_RFPEeSvyF5w,tgCMQfRuXAv15h3rzHVQRQ,1,Kenna M.,kenna
75,0,1o9IdLrFGMS2o5Y8uXKC0Q,Vu2x7CkBRdfUQjC_BDJmvg,5,Jemal D.,jemal
76,1,1o9IdLrFGMS2o5Y8uXKC0Q,O_bQf-Qim9Dk9K6zCYfSoA,4,Aaron D.,aaron
77,2,1o9IdLrFGMS2o5Y8uXKC0Q,HxbFq0_fbNi62sdgFfNduw,5,Craig M.,craig
78,0,1ulD4HL2G8qbpEuuWFDSqQ,IAwEwnegmFmIib_Cv36vAw,5,Maria H.,maria
79,1,1ulD4HL2G8qbpEuuWFDSqQ,E6s0cZzpX-gLduuzNE8qAA,2,Melissa K.,melissa
80,2,1ulD4HL2G8qbpEuuWFDSqQ,cWLm9g6NyowtM3VvCOGZag,1,Sue D.,sue
81,0,24_GowpZ79St53rpxsKqsQ,ptNeR1NIZ0q9-1BEd1USww,5,Chris D.,chris
82,1,24_GowpZ79St53rpxsKqsQ,1HyKkSHzL2RWqNrKDQy1uw,5,Mary Margaret M.,mary
83,2,24_GowpZ79St53rpxsKqsQ,DQv83U3hFw_IVIOUU9DArA,3,David B.,david
84,0,2BMk_drsikKWslJCXmQtjQ,yjWuxHY4MQDDKUxHa7kJvA,4,Jamie B.,jamie
85,1,2BMk_drsikKWslJCXmQtjQ,u8w-JcWPKRCpEo_5n9xDpg,2,Trevor P.,trevor
86,2,2BMk_drsikKWslJCXmQtjQ,BQsywEAiZWSQuRXUQNGLFw,4,michael d.,michael
87,0,2DWqlmcMV9CxzUDYhzY04Q,_laHh0_hl2jm9oAiBLX1aA,5,Lisa R.,lisa
88,1,2DWqlmcMV9CxzUDYhzY04Q,K9_zCgDewCq2zKnWL32NtQ,4,Sara L.,sara
89,2,2DWqlmcMV9CxzUDYhzY04Q,CvWW3Nhphd8S-yy7QmX0Gg,4,Kay Dee H.,kay
90,0,2P-pvj_jo0SxNe6jih6sOA,LfDVJv2Kwi0mXpq3PjsWTQ,5,Doug M.,doug
91,1,2P-pvj_jo0SxNe6jih6sOA,jX4kAITfOxIBjZk58uP67A,5,Zach H.,zach
92,2,2P-pvj_jo0SxNe6jih6sOA,tCo5u-8NIYCDMLKL9tbz4Q,5,Sandra K.,sandra
93,0,2aZNVfzU-3672SjRHnPoOA,u7NrnJPyAR8Z63sJ5iuegg,5,Vivienne C.,vivienne
94,1,2aZNVfzU-3672SjRHnPoOA,QpmwxBqjh3Tcis3GOR4HqA,5,Cheryl T.,cheryl
95,2,2aZNVfzU-3672SjRHnPoOA,P9doCXFsu-BR-O3MCVCi8Q,4,Faye T.,faye
96,0,2zscMai3s2qePfovwetPcg,yX3qiJ77r7hQtfevhJCZjA,5,Alex R.,alex
97,1,2zscMai3s2qePfovwetPcg,LP4TlsrLBhFU-u4u4KEcwg,4,Dave D.,dave
98,2,2zscMai3s2qePfovwetPcg,wj8wJzGw6jPBaqloASxq1w,4,T. S.,t.
99,0,31_JqV2ZinZ7Uo4DKiKFEQ,sU2KMylA3QVMoW6Ct6rkDQ,4,Nathan T.,nathan
100,1,31_JqV2ZinZ7Uo4DKiKFEQ,Sn1H_JdEl66J_nri_vHcuw,5,Andrew M.,andrew
101,2,31_JqV2ZinZ7Uo4DKiKFEQ,lsA_cKFSO1e1ePQs55OnqQ,4,Valerie K.,valerie
102,0,33l2XVp01d8kltTs_UMJ8A,R5JgicBCFr1PIuRf_b5qqg,5,Amber M.,amber
103,1,33l2XVp01d8kltTs_UMJ8A,bqpua-E7ka04U4iTFknXBg,4,Lizzy L.,lizzy
104,2,33l2XVp01d8kltTs_UMJ8A,4F0j3_zIBBaLOqwT5MVzUw,4,Abigail L.,abigail
105,0,37dCsVwCe8yWPkW7TXCLCA,w_VSvmGwHGk1fF4SAjOq7g,5,Dan J.,dan
106,1,37dCsVwCe8yWPkW7TXCLCA,Unn08ErU_E4ziL2NpLmKWg,4,Zack G.,zack
107,2,37dCsVwCe8yWPkW7TXCLCA,FNrEsXAtsJVAANSy0-5O2g,5,Micah G.,micah
108,0,3AZjEgNM6CiOePDKKAQWgA,diITXEDX93lRG5yB-aYMRw,5,Christina C.,christina
109,1,3AZjEgNM6CiOePDKKAQWgA,eK0aZ4TLMaiHzw5T34y2SA,5,Allen W.,allen
110,2,3AZjEgNM6CiOePDKKAQWgA,_kuQz3sm-293ZFrbjDqarA,5,Chris K.,chris
111,0,3M2zIKwVz2J63SlNiirgVA,WtVnortdVgBcaRNbTsU3nw,5,Cynthia K.,cynthia
112,1,3M2zIKwVz2J63SlNiirgVA,RaMd63P8woE7dRkDy4hTqQ,4,Julie L.,julie
113,2,3M2zIKwVz2J63SlNiirgVA,B1L8jvcAU3f3WP0QThn5mQ,4,Devon P.,devon
114,0,3VYxaeo6BJNHbVIIfmWN_w,D98kb6fYw94EpGSwEV70Rg,5,Katherine G.,katherine
