zip_code,Female,Male,review_count,pct_male,pct_female,ARR,ABR,AP,county,latitude,longitude,Population,ZIP Household Income,ZIP Income Per Capita,Poverty,Unemployment,Pop_Rev,Inc_Rev,IncC_Rev,Rev_Pov,M_Rcount,W_Rcount
63101,6468.0,9628.0,16096.0,0.5981610337972167,0.4018389662027833,3.5,4.125,1.8,Saint Louis City,38.631551,-90.193,3303,54442.0,44409.0,781.0,173.0,487.31456251892223,29.56540905918225,36.24490531198631,4.85213717693837,9628.0,6468.0
63102,2969.0,0.0,2969.0,0.0,1.0,3.3333333333333335,4.166666666666667,2.0,Saint Louis City,38.6352,-90.18701999999999,2314,44089.0,26807.0,116.0,62.0,128.30596369922213,6.734106012837669,11.075465363524453,3.9070394072078143,0.0,2969.0
63103,3695.0,5177.0,8872.0,0.5835211902614968,0.41647880973850315,4.25,4.375,1.9375,Saint Louis City,38.631451,-90.21415,7265,35968.0,36833.0,1457.0,260.0,122.11975223675155,24.666370106761565,24.08709581082182,16.422452660054102,5177.0,3695.0
63104,7544.0,10761.0,18305.0,0.5878721660748429,0.41212783392515706,4.181818181818182,4.363636363636363,2.0,Saint Louis City,38.610701,-90.21361999999999,20320,47816.0,32508.0,5150.0,896.0,90.08366141732283,38.28216496570186,56.30921619293713,28.13438951106255,10761.0,7544.0
63105,6807.0,2683.0,9490.0,0.2827186512118019,0.7172813487881982,4.5625,4.265625,2.3125,Saint Louis,38.645484,-90.32888,17599,89750.0,58068.0,1285.0,389.0,53.92351838172623,10.573816155988858,16.342908314390026,13.540569020021076,2683.0,6807.000000000001
63106,1026.0,0.0,1026.0,0.0,1.0,3.6666666666666665,4.5,1.0,Saint Louis City,38.644451000000004,-90.20636,11989,14087.0,10183.0,6577.0,960.0,8.55784469096672,7.283310853978846,10.07561622311696,641.0331384015594,0.0,1026.0
63107,78.0,78.0,156.0,0.5,0.5,4.0,4.0,1.7,Saint Louis City,38.6628,-90.20949,10437,19685.0,12597.0,4557.0,874.0,1.4946823799942512,0.79248158496317,1.238390092879257,2921.153846153846,78.0,78.0
63108,12335.0,8171.0,20506.0,0.3984687408563347,0.6015312591436652,4.19672131147541,4.114754098360656,1.9180327868852458,Saint Louis City,38.646201,-90.25435,21345,39162.0,37387.0,5799.0,1052.0,96.06933708128366,52.361983555487456,54.84794179795116,28.27952794304106,8171.0,12335.0
63109,4514.0,3657.0,8171.0,0.44755843837963527,0.5524415616203647,4.419354838709677,4.451612903225806,1.8709677419354838,Saint Louis City,38.586052,-90.2941,27072,54475.0,37509.0,1975.0,629.0,30.18247635933806,14.999541073887105,21.78410514809779,24.17084812140497,3657.0,4514.0
63110,7988.0,6944.0,14932.0,0.4650415215644254,0.5349584784355746,4.4186046511627906,4.383720930232558,1.7674418604651163,Saint Louis City,38.622601,-90.26182,17423,45363.0,30782.0,3145.0,701.0,85.70280663490789,32.91669422216344,48.50886881943993,21.06214840610769,6944.0,7988.000000000001
63111,1221.0,467.0,1688.0,0.27665876777251186,0.7233412322274881,4.777777777777778,4.388888888888889,1.4444444444444444,Saint Louis City,38.559302,-90.25174,21380,26435.0,16682.0,7304.0,1089.0,7.8952291861552855,6.385473803669378,10.118690804459897,432.7014218009479,467.0,1221.0
63112,1464.0,622.0,2086.0,0.2981783317353787,0.7018216682646213,3.6153846153846154,3.8846153846153846,1.7692307692307692,Saint Louis City,38.661351,-90.28434,19982,34251.0,25122.0,5464.0,1449.0,10.439395455910319,6.090333128959738,8.30347902237083,261.9367209971237,622.0,1464.0
63113,142.0,10.0,152.0,0.06578947368421052,0.9342105263157895,3.8333333333333335,4.0,1.3333333333333333,Saint Louis City,38.656701,-90.24396999999999,11270,24283.0,16087.0,4156.0,1152.0,1.3487133984028394,0.625952312317259,0.9448623111829427,2734.2105263157896,10.0,142.0
63114,457.0,706.0,1163.0,0.6070507308684436,0.3929492691315563,4.157894736842105,4.026315789473684,1.4736842105263157,Saint Louis,38.702651,-90.36109,35530,42744.0,21498.0,6503.0,1279.0,3.2732901773149448,2.7208497099008047,5.409805563308215,559.1573516766981,706.0,457.0
63115,112.0,55.0,167.0,0.32934131736526945,0.6706586826347305,3.0,3.4,1.4,Saint Louis City,38.676851,-90.24009000000001,18446,23789.0,14898.0,6045.0,1893.0,0.9053453323213705,0.7020051284206986,1.1209558329977178,3619.7604790419164,55.0,112.0
63116,575.0,1452.0,2027.0,0.7163295510606809,0.2836704489393192,4.6875,4.53125,1.6875,Saint Louis City,38.580552000000004,-90.26307,44175,41273.0,24673.0,9304.0,2002.0,4.588568194680249,4.911201027305987,8.215458193166619,459.00345337937836,1452.0,575.0
63117,1038.0,3432.0,4470.0,0.7677852348993288,0.23221476510067113,4.142857142857143,3.892857142857143,1.8571428571428572,Saint Louis,38.628402,-90.32636,9097,70680.0,51963.0,666.0,253.0,49.137078157634384,6.32427843803056,8.602274695456384,14.899328859060404,3432.0,1038.0
63118,7557.0,6292.0,13849.0,0.45432883240667193,0.545671167593328,4.580645161290323,4.274193548387097,1.4516129032258065,Saint Louis City,38.594901,-90.2278,28810,29880.0,19201.0,9996.0,1909.0,48.07011454356127,46.34872824631861,72.12645174730483,72.17849664235685,6292.0,7557.0
63119,5390.0,4277.0,9667.0,0.44243301955104997,0.55756698044895,4.378378378378378,3.9594594594594597,1.864864864864865,Saint Louis,38.590652,-90.35168,33894,72214.0,40836.0,1869.0,681.0,28.521272201569598,13.386600936106571,23.672739739445586,19.333816075307748,4277.0,5390.0
