zip_code,Female,Male,total,pct_female,pct_male
63031,0.0,29.0,29.0,0.0,1.0
63033,217.0,77.0,294.0,0.7380952380952381,0.2619047619047619
63043,220.0,171.0,391.0,0.5626598465473146,0.4373401534526854
63074,0.0,478.0,478.0,0.0,1.0
63080,0.0,36.0,36.0,0.0,1.0
63101,4703.0,7259.0,11962.0,0.3931616786490553,0.6068383213509446
63102,616.0,0.0,616.0,1.0,0.0
63103,2457.0,1505.0,3962.0,0.6201413427561837,0.37985865724381623
63104,6543.0,4555.0,11098.0,0.5895656875112633,0.4104343124887367
63105,2004.0,4106.0,6110.0,0.32798690671031094,0.6720130932896891
63106,513.0,1026.0,1539.0,0.3333333333333333,0.6666666666666666
63107,42.0,54.0,96.0,0.4375,0.5625
63108,8112.0,4471.0,12583.0,0.644679329253755,0.35532067074624496
63109,4065.0,1750.0,5815.0,0.6990541702493551,0.3009458297506449
63110,4240.0,5865.0,10105.0,0.4195942602671945,0.5804057397328055
63111,29.0,296.0,325.0,0.08923076923076922,0.9107692307692308
63112,2061.0,378.0,2439.0,0.8450184501845018,0.15498154981549817
63113,64.0,17.0,81.0,0.7901234567901234,0.20987654320987653
63114,607.0,217.0,824.0,0.7366504854368932,0.2633495145631068
63115,74.0,38.0,112.0,0.6607142857142857,0.3392857142857143
63116,1049.0,683.0,1732.0,0.6056581986143187,0.3943418013856813
63117,2264.0,2206.0,4470.0,0.5064876957494407,0.4935123042505593
63118,7628.0,2797.0,10425.0,0.7317026378896883,0.26829736211031174
63119,4248.0,4159.0,8407.0,0.5052932080409183,0.49470679195908174
63120,18.0,7.0,25.0,0.72,0.28
63121,6.0,139.0,145.0,0.041379310344827586,0.9586206896551724
63122,2008.0,1733.0,3741.0,0.5367548783747661,0.4632451216252339
63123,962.0,1798.0,2760.0,0.34855072463768116,0.6514492753623189
63124,1687.0,1229.0,2916.0,0.5785322359396433,0.42146776406035663
63125,408.0,1004.0,1412.0,0.28895184135977336,0.7110481586402266
63126,458.0,1776.0,2234.0,0.20501342882721577,0.7949865711727843
63127,1598.0,164.0,1762.0,0.9069239500567536,0.09307604994324631
63128,863.0,560.0,1423.0,0.60646521433591,0.39353478566408995
63129,872.0,592.0,1464.0,0.5956284153005464,0.40437158469945356
63130,9194.0,6346.0,15540.0,0.5916344916344917,0.4083655083655084
63131,1234.0,1251.0,2485.0,0.496579476861167,0.503420523138833
63132,1519.0,2428.0,3947.0,0.38484925259690905,0.615150747403091
63133,70.0,27.0,97.0,0.7216494845360825,0.27835051546391754
63134,412.0,411.0,823.0,0.5006075334143378,0.4993924665856622
63135,344.0,572.0,916.0,0.37554585152838427,0.6244541484716157
63136,217.0,167.0,384.0,0.5651041666666666,0.4348958333333333
63137,41.0,24.0,65.0,0.6307692307692307,0.36923076923076925
63138,23.0,15.0,38.0,0.6052631578947368,0.39473684210526316
63139,2084.0,1272.0,3356.0,0.6209773539928486,0.37902264600715135
63141,2213.0,3468.0,5681.0,0.38954409434958637,0.6104559056504136
63143,2435.0,2297.0,4732.0,0.51458157227388,0.48541842772612004
63144,2154.0,2168.0,4322.0,0.4983803794539565,0.5016196205460435
63145,40.0,332.0,372.0,0.10752688172043011,0.8924731182795699
63146,1134.0,944.0,2078.0,0.5457170356111646,0.4542829643888354
63147,34.0,6.0,40.0,0.85,0.15
