zip_code,county,latitude,longitude,Population,ZIP Household Income,ZIP Income Per Capita,Poverty,Unemployment,review_count,pct_female,pct_male,Pop_Rev,Inc_Rev,IncC_Rev,Rev_Pov,M_Rcount,W_Rcount
63133,Saint Louis,38.679684,-90.30185999999999,7507,22632,12815,2900,659,77,0.7216494845360825,0.27835051546391754,1.0257093379512454,0.34022622834924005,0.6008583690987125,3766.2337662337663,21.43298969072165,55.56701030927835
63134,Saint Louis,38.738217,-90.33904,13801,37414,18630,3099,1006,472,0.5006075334143378,0.4993924665856622,3.4200420259401496,1.2615598439086972,2.5335480407944178,656.5677966101695,235.71324422843256,236.28675577156747
63135,Saint Louis,38.74785,-90.30258,21512,42773,21542,4057,1171,463,0.37554585152838427,0.6244541484716157,2.152287095574563,1.0824585603067356,2.149289759539504,876.2419006479481,289.12227074235807,173.8777292576419
63136,Saint Louis,38.73835,-90.26154,44982,31118,16264,11712,3763,331,0.5651041666666666,0.4348958333333333,0.735849895513761,1.063693039398419,2.0351696999508118,3538.3685800604226,143.95052083333331,187.04947916666666
63137,Saint Louis,38.748183000000004,-90.21864000000001,20460,35857,17405,5324,1625,35,0.6307692307692307,0.3692307692307693,0.1710654936461388,0.09760995063725354,0.2010916403332376,15211.428571428572,12.923076923076925,22.076923076923077
63138,Saint Louis,38.787849,-90.21041,19944,37066,19934,4044,1767,48,0.6052631578947368,0.3947368421052632,0.24067388688327318,0.1294987319915826,0.24079462225343634,8425.0,18.947368421052634,29.05263157894737
63139,Saint Louis City,38.610901,-90.29174,22072,49887,34433,2744,514,1654,0.6209773539928486,0.37902264600715135,7.493657122145706,3.3154930142121195,4.803531495948654,165.90084643288995,626.9034564958283,1027.0965435041717
63141,Saint Louis,38.662302000000004,-90.45363,19920,104539,67644,722,290,3971,0.3895440943495864,0.6104559056504136,19.934738955823292,3.7985823472579607,5.8704393589971025,18.181818181818183,2424.1204013377924,1546.8795986622076
63143,Saint Louis,38.612452000000005,-90.31822,9399,42153,29994,1229,356,3381,0.51458157227388,0.48541842772612,35.971911905521864,8.020781439043484,11.272254450890177,36.350192250813365,1641.1997041420116,1739.8002958579884
63144,Saint Louis,38.619152,-90.34964000000001,8796,72238,48569,473,117,2055,0.4983803794539565,0.5016196205460435,23.362892223738065,2.8447631440516075,4.231093907636558,23.01703163017032,1030.8283202221194,1024.1716797778806
63146,Saint Louis,38.688584999999996,-90.44689,29770,65052,39942,2178,796,1290,0.5457170356111646,0.4542829643888354,4.3332213637890495,1.9830289614462278,3.229683040408592,168.83720930232556,586.0250240615977,703.9749759384023
63147,Saint Louis City,38.692861,-90.21905,10164,29060,16162,2744,740,41,0.85,0.15,0.4033844942935852,0.14108740536820372,0.25368147506496724,6692.682926829268,6.1499999999999995,34.85
