zip_code,county,latitude,longitude,Population,ZIP Household Income,ZIP Income Per Capita,Poverty,Unemployment,review_count,pct_female,pct_male,Pop_Rev,Inc_Rev,IncC_Rev,Rev_Pov,M_Rcount,W_Rcount
63101,Saint Louis City,38.631551,-90.193,3303,54442,44409,781,173,6932,0.3931616786490553,0.6068383213509446,209.8698153194066,12.73281657543808,15.609448535206827,11.266589728794,4206.603243604748,2725.3967563952515
63102,Saint Louis City,38.6352,-90.18701999999999,2314,44089,26807,116,62,2353,1.0,0.0,101.68539325842696,5.336932114586404,8.777558100496138,4.929876753081173,0.0,2353.0
63103,Saint Louis City,38.631451,-90.21415,7265,35968,36833,1457,260,7170,0.6201413427561837,0.3798586572438161,98.69236063317275,19.934386120996443,19.46623951347976,20.320781032078102,2723.5865724381615,4446.413427561837
63104,Saint Louis City,38.610701,-90.21361999999999,20320,47816,32508,5150,896,8205,0.5895656875112633,0.4104343124887367,40.378937007874015,17.15952819140037,25.23994093761536,62.76660572821451,3367.6135339700845,4837.386466029915
63105,Saint Louis,38.645484,-90.32888,17599,89750,58068,1285,389,4585,0.3279869067103109,0.6720130932896891,26.05261662594466,5.108635097493036,7.895915133980851,28.02617230098146,3081.1800327332244,1503.8199672667754
63106,Saint Louis City,38.644451000000004,-90.20636,11989,14087,10183,6577,960,513,0.3333333333333333,0.6666666666666666,4.27892234548336,3.641655426989423,5.03780811155848,1282.0662768031189,342.0,171.0
63107,Saint Louis City,38.6628,-90.20949,10437,19685,12597,4557,874,60,0.4375,0.5625,0.5748778384593274,0.3048006096012192,0.4763038818766373,7595.0,33.75,26.25
63108,Saint Louis City,38.646201,-90.25435,21345,39162,37387,5799,1052,9186,0.644679329253755,0.35532067074624496,43.03583977512298,23.456411827792248,24.57003771364378,63.12867406923579,3263.9756814750062,5922.024318524994
63109,Saint Louis City,38.586052,-90.2941,27072,54475,37509,1975,629,4564,0.6990541702493551,0.3009458297506449,16.85874704491726,8.378155117026159,12.16774640752886,43.27344434706398,1373.5167669819432,3190.4832330180566
63110,Saint Louis City,38.622601,-90.26182,17423,45363,30782,3145,701,6164,0.4195942602671945,0.5804057397328055,35.37852264248407,13.588166567466878,20.02468975375219,51.02206359506813,3577.620979713013,2586.379020286987
