zip_code,Female,Male,review_count,pct_male,pct_female,ARR,ABR,AP,county,latitude,longitude,Population,ZIP Household Income,ZIP Income Per Capita,Poverty,Unemployment
63132,2099.0,2583.0,4682.0,0.5516873131140538,0.44831268688594617,4.3,4.216666666666667,1.4333333333333333,Saint Louis,38.675784,-90.37463000000001,13861,52654.0,35401.0,1832.0,413.0
63133,26.0,148.0,174.0,0.8505747126436781,0.14942528735632185,4.2727272727272725,4.5,1.0,Saint Louis,38.679684,-90.30185999999999,7507,22632.0,12815.0,2900.0,659.0
63134,346.0,821.0,1167.0,0.7035132819194516,0.29648671808054844,3.8421052631578947,3.8947368421052633,1.5263157894736843,Saint Louis,38.738217,-90.33904,13801,37414.0,18630.0,3099.0,1006.0
63135,675.0,372.0,1047.0,0.3553008595988539,0.6446991404011462,4.178571428571429,4.160714285714286,1.6428571428571428,Saint Louis,38.74785,-90.30258,21512,42773.0,21542.0,4057.0,1171.0
63136,328.0,259.0,587.0,0.44122657580919933,0.5587734241908007,3.6944444444444446,3.763888888888889,1.1111111111111112,Saint Louis,38.73835,-90.26154,44982,31118.0,16264.0,11712.0,3763.0
63137,33.0,44.0,77.0,0.5714285714285714,0.42857142857142855,3.066666666666667,3.1333333333333333,1.2,Saint Louis,38.748183000000004,-90.21864000000001,20460,35857.0,17405.0,5324.0,1625.0
63138,43.0,36.0,79.0,0.45569620253164556,0.5443037974683544,1.7777777777777777,2.0555555555555554,1.0,Saint Louis,38.787849,-90.21041,19944,37066.0,19934.0,4044.0,1767.0
63139,1814.0,2171.0,3985.0,0.544792973651192,0.45520702634880805,3.8823529411764706,4.323529411764706,1.8823529411764706,Saint Louis City,38.610901,-90.29174,22072,49887.0,34433.0,2744.0,514.0
63141,5168.0,2581.0,7749.0,0.3330752355142599,0.6669247644857401,3.9761904761904763,4.095238095238095,1.880952380952381,Saint Louis,38.662302000000004,-90.45363,19920,104539.0,67644.0,722.0,290.0
63143,2884.0,2280.0,5164.0,0.4415182029434547,0.5584817970565453,4.090909090909091,4.181818181818182,2.0,Saint Louis,38.612452000000005,-90.31822,9399,42153.0,29994.0,1229.0,356.0
63144,3397.0,1672.0,5069.0,0.32984809627145395,0.670151903728546,3.8823529411764706,4.029411764705882,1.8235294117647058,Saint Louis,38.619152,-90.34964000000001,8796,72238.0,48569.0,473.0,117.0
63146,2580.0,497.0,3077.0,0.1615209619759506,0.8384790380240494,4.466666666666667,3.9,2.0,Saint Louis,38.688584999999996,-90.44689,29770,65052.0,39942.0,2178.0,796.0
63147,46.0,0.0,46.0,0.0,1.0,2.25,2.375,1.5,Saint Louis City,38.692861,-90.21905,10164,29060.0,16162.0,2744.0,740.0
