zip_code,city,latitude,longetude,population,People / Sq. Mile,National Rank,number,State
7504,Paterson,40.912224,-74.141613,"13,072","15,653.91",#312,312, New Jersey
60653,Chicago,41.819722,-87.611809,"34,502","15,629.38",#313,313, Illinois
55404,Minneapolis,44.962198,-93.262011,"27,282","15,590.01",#314,314, Minnesota
90716,Hawaiian Gardens,33.830431,-118.074071,"14,850","15,536.36",#315,315, California
11427,Queens Village,40.729722,-73.7498,"23,014","15,531.36",#316,316, New York
90022,Los Angeles,34.02381,-118.156582,"68,688","15,527.04",#317,317, California
60661,Chicago,41.882458,-87.643946,"4,382","15,455.28",#318,318, Illinois
19122,Philadelphia,39.977688,-75.145885,"19,589","15,449.92",#319,319, Pennsylvania
60301,Oak Park,41.888528,-87.797803,"2,158","15,443.60",#320,320, Illinois
94709,Berkeley,37.878554,-122.26609,"10,140","15,430.49",#321,321, California
22209,Arlington,38.893029,-77.073083,"11,622","15,417.93",#322,322, Virginia
55454,Minneapolis,44.969571,-93.244257,"6,772","15,314.48",#323,323, Minnesota
11379,Middle Village,40.715488,-73.87949,"28,984","15,242.36",#324,324, New York
60629,Chicago,41.77469,-87.714185,"113,984","15,212.28",#325,325, Illinois
11361,Bayside,40.76437,-73.771869,"29,206","15,180.72",#326,326, New York
2134,Allston,42.358786,-71.129581,"21,389","15,139.35",#327,327, Massachusetts
91405,Van Nuys,34.202494,-118.448048,"51,344","15,136.82",#328,328, California
90062,Los Angeles,34.003553,-118.308933,"29,279","15,122.67",#329,329, California
90301,Inglewood,33.956445,-118.358634,"37,507","15,090.52",#330,330, California
90025,Los Angeles,34.046174,-118.446333,"41,170","15,088.56",#331,331, California
11692,Arverne,40.593163,-73.793803,"15,893","15,061.65",#332,332, New York
10701,Yonkers,40.94525,-73.881145,"63,715","15,054.57",#333,333, New York
2863,Central Falls,41.890064,-71.393481,"18,946","14,995.15",#334,334, Rhode Island
92662,Newport Beach,33.606336,-117.893042,"3,120","14,964.12",#335,335, California
10553,Mount Vernon,40.908502,-73.821554,"10,102","14,898.05",#336,336, New York
7050,Orange,40.76804,-74.235692,"32,868","14,893.15",#337,337, New Jersey
2140,Cambridge,42.392157,-71.133996,"17,003","14,881.84",#338,338, Massachusetts
2119,Boston,42.323881,-71.085332,"23,823","14,856.36",#339,339, Massachusetts
94703,Berkeley,37.863843,-122.275684,"19,743","14,822.22",#340,340, California
19082,Upper Darby,39.960387,-75.270374,"38,348","14,810.02",#341,341, Pennsylvania
2135,Brighton,42.348417,-71.154339,"43,887","14,809.88",#342,342, Massachusetts
90002,Los Angeles,33.949255,-118.246978,"44,584","14,622.30",#343,343, California
98102,Seattle,47.634416,-122.321561,"19,424","14,594.02",#344,344, Washington
15232,Pittsburgh,40.452565,-79.932673,"11,792","14,587.48",#345,345, Pennsylvania
7103,Newark,40.73889,-74.195397,"31,455","14,563.63",#346,346, New Jersey
33139,Miami Beach,25.784585,-80.140417,"38,441","14,551.74",#347,347, Florida
91204,Glendale,34.136306,-118.26036,"16,997","14,540.43",#348,348, California
95116,San Jose,37.350284,-121.852855,"51,688","14,538.87",#349,349, California
18102,Allentown,40.607625,-75.47722,"42,418","14,491.25",#350,350, Pennsylvania
19121,Philadelphia,39.98198,-75.17912,"34,935","14,482.93",#351,351, Pennsylvania
925,San Juan,18.400468,-66.050494,"7,997","14,443.31",#352,352, Puerto Rico
94121,San Francisco,37.776718,-122.495781,"42,473","14,397.70",#353,353, California
11004,Glen Oaks,40.745809,-73.71124,"14,682","14,388.66",#354,354, New York
2122,Boston,42.295088,-71.052533,"24,548","14,350.84",#355,355, Massachusetts
53703,Madison,43.079575,-89.378389,"26,715","14,330.61",#356,356, Wisconsin
21202,Baltimore,39.296526,-76.607016,"23,572","14,327.41",#357,357, Maryland
7024,Fort Lee,40.850065,-73.973777,"35,461","14,307.14",#358,358, New Jersey
90303,Inglewood,33.936291,-118.332639,"27,773","14,300.43",#359,359, California
92707,Santa Ana,33.714829,-117.872941,"62,627","14,296.75",#360,360, California
90262,Lynwood,33.923573,-118.200669,"69,830","14,295.17",#361,361, California
10018,New York,40.754969,-73.992126,"4,255","14,250.83",#362,362, New York
1841,Lawrence,42.712015,-71.164873,"44,038","14,234.49",#363,363, Massachusetts
10308,Staten Island,40.551236,-74.150961,"26,451","14,230.06",#364,364, New York
90814,Long Beach,33.771612,-118.143866,"19,014","14,225.68",#365,365, California
94612,Oakland,37.809014,-122.269739,"11,700","14,189.23",#366,366, California
60608,Chicago,41.848647,-87.67232,"92,472","14,180.66",#367,367, Illinois
19135,Philadelphia,40.022732,-75.049612,"30,881","14,155.18",#368,368, Pennsylvania
11357,Whitestone,40.786415,-73.810924,"39,491","14,136.10",#369,369, New York
921,San Juan,18.391715,-66.086408,"45,433","14,134.02",#370,370, Puerto Rico
91501,Burbank,34.188339,-118.300942,"18,096","14,103.97",#371,371, California
60165,Stone Park,41.90319,-87.880264,"5,171","14,093.73",#372,372, Illinois
19126,Philadelphia,40.056119,-75.136564,"16,484","14,090.05",#373,373, Pennsylvania
44243,Kent,41.148084,-81.340933,"5,277","14,027.33",#374,374, Ohio
91601,North Hollywood,34.1692,-118.372498,"36,616","13,986.32",#375,375, California
11550,Hempstead,40.702731,-73.623226,"59,022","13,976.06",#376,376, New York
8629,Trenton,40.220723,-74.7311,"11,102","13,973.01",#377,377, New Jersey
96815,Honolulu,21.274685,-157.82113,"27,507","13,956.55",#378,378, Hawaii
60616,Chicago,41.844977,-87.629846,"47,073","13,948.12",#379,379, Illinois
10703,Yonkers,40.957236,-73.881126,"20,410","13,884.55",#380,380, New York
90042,Los Angeles,34.11572,-118.192754,"64,660","13,884.07",#381,381, California
10302,Staten Island,40.63082,-74.137841,"16,406","13,875.40",#382,382, New York
7650,Palisades Park,40.846603,-73.996336,"17,073","13,637.77",#383,383, New Jersey
90250,Hawthorne,33.914775,-118.348083,"93,314","13,634.12",#384,384, California
60636,Chicago,41.775708,-87.669011,"51,451","13,581.48",#385,385, Illinois
60624,Chicago,41.880048,-87.722352,"45,647","13,574.16",#386,386, Illinois
2126,Mattapan,42.274856,-71.092908,"27,815","13,523.15",#387,387, Massachusetts
33125,Miami,25.783473,-80.235879,"48,598","13,452.74",#388,388, Florida
90035,Los Angeles,34.051809,-118.383843,"27,792","13,410.93",#389,389, California
94964,San Quentin,37.942551,-122.491642,"6,439","13,373.91",#390,390, California
7026,Garfield,40.879797,-74.10825,"29,850","13,325.51",#391,391, New Jersey
11378,Maspeth,40.724744,-73.909639,"34,053","13,268.80",#392,392, New York
90036,Los Angeles,34.070291,-118.349191,"32,885","13,245.77",#393,393, California
90280,South Gate,33.944624,-118.192615,"96,260","13,234.07",#394,394, California
2127,Boston,42.336004,-71.038695,"29,456","13,233.61",#395,395, Massachusetts
11356,College Point,40.78481,-73.841165,"20,444","13,186.78",#396,396, New York
11691,Far Rockaway,40.600774,-73.757824,"56,184","13,164.72",#397,397, New York
19151,Philadelphia,39.97974,-75.256726,"31,255","13,140.12",#398,398, Pennsylvania
7206,Elizabeth,40.651594,-74.189279,"23,315","13,123.15",#399,399, New Jersey
94131,San Francisco,37.746699,-122.442833,"27,897","13,070.88",#400,400, California
60804,Cicero,41.842221,-87.758465,"86,133","13,070.16",#401,401, Illinois
11413,Springfield Gardens,40.669293,-73.750553,"39,827","13,046.46",#402,402, New York
