,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender,name,rating,zip_code,review_count,price,price_num
107,0,-kVueEw_fyO1Q2Gkmj6Few,DSQj_X9t-4QaEVp_gNRqPw,5,Monte G.,monte,Male,Taqueria Santa Fe,4.5,11377,337,$,1
108,1,-kVueEw_fyO1Q2Gkmj6Few,CSHckguOnBNBKMjWa8cUHQ,4,Jesse F.,jesse,Male,Taqueria Santa Fe,4.5,11377,337,$,1
109,2,-kVueEw_fyO1Q2Gkmj6Few,0pspp_Atc6p9cjmsoMNrWw,4,Christos A.,christos,Male,Taqueria Santa Fe,4.5,11377,337,$,1
110,0,-rqqnZeGmwyfkqoRskSO1g,xeejTBpq1AlI7Xdi1-QK5g,5,Thea G.,thea,Female,Koroni Souvlaki and Grill,5.0,11102,241,$$,2
111,1,-rqqnZeGmwyfkqoRskSO1g,Zofa03Zn-7rG8Rs2PnKxJA,5,Mackenzie D.,mackenzie,Male,Koroni Souvlaki and Grill,5.0,11102,241,$$,2
112,2,-rqqnZeGmwyfkqoRskSO1g,zbXWRMvdDpmDfRD1JYjVbw,5,Evan R.,evan,Male,Koroni Souvlaki and Grill,5.0,11102,241,$$,2
113,0,-sqlUrNVD1xN5jlCtRAGdA,cYyovWmsSk5vS1X_5s8KOg,5,Irene N.,irene,Female,Marmar,4.0,10301,183,$$,2
115,1,-sqlUrNVD1xN5jlCtRAGdA,S_wGhoYGVUMHXStll5eLGg,5,Rachel L.,rachel,Female,Marmar,4.0,10301,183,$$,2
117,2,-sqlUrNVD1xN5jlCtRAGdA,WJmo6mFIVAgOzhQPzujb7g,4,John P.,john,Male,Marmar,4.0,10301,183,$$,2
119,0,-wGvjd9NmPqrT0tm_pq1QQ,ZdliuWAqp5i4CSFrcQ-szA,5,Dinh D.,dinh,Male,The Black Whale,3.5,10464,166,$$,2
120,1,-wGvjd9NmPqrT0tm_pq1QQ,w7Tx_tzmpb2PXKf9Pq1BWw,3,Lulu Y.,lulu,Female,The Black Whale,3.5,10464,166,$$,2
121,2,-wGvjd9NmPqrT0tm_pq1QQ,A8CktamSGs6ChfKSLhf6cA,2,Shaji K.,shaji,Male,The Black Whale,3.5,10464,166,$$,2
122,0,00jHmlu0elBhzBsw7Y5pww,WrGaXtzKzdceNQGpwzqixQ,5,Carie C.,carie,Female,Jack & Nellie's,4.0,11375,659,$$,2
130,1,00jHmlu0elBhzBsw7Y5pww,ctOUz1l4RSNQvNfVIbIX5g,5,Julio R.,julio,Male,Jack & Nellie's,4.0,11375,659,$$,2
138,0,01eI6pT0doZiu0nm-Gl7RA,L3_vxMZmr6OTeaVfspgcnQ,4,John T.,john,Male,Trattoria 35,4.0,11361,422,$$,2
140,1,01eI6pT0doZiu0nm-Gl7RA,2mtKhFQlSEqhTmlE88c4dg,5,Kelsey S.,kelsey,Female,Trattoria 35,4.0,11361,422,$$,2
142,0,02sUerL13Wt4Ii2-kDzlow,XW5XC5QpAYczNF1ysxNHQw,5,Lola T.,lola,Female,Rosa's Pizza,4.0,11378,374,$,1
144,1,02sUerL13Wt4Ii2-kDzlow,Ef4NnEBAzOe1cg8dZbjOVQ,4,Jane L.,jane,Female,Rosa's Pizza,4.0,11378,374,$,1
146,2,02sUerL13Wt4Ii2-kDzlow,sL7aOB9_i9cacMTSn_VW8Q,4,Carlos L.,carlos,Male,Rosa's Pizza,4.0,11378,374,$,1
148,0,08KCenrjRbL7vzfHjdGYyg,JOdnZWyjYbXkeYMcSJk4SQ,5,Meagan D.,meagan,Female,Estrellita Poblana IV,4.0,10461,164,$$,2
