zip_code,Female,Male,total,pct_female,pct_male
07020,1579.0,1579.0,3158.0,0.5,0.5
07024,5263.0,753.0,6016.0,0.8748337765957447,0.12516622340425532
07302,12934.0,7502.0,20436.0,0.6329027206889802,0.36709727931101976
07304,1464.0,0.0,1464.0,1.0,0.0
07305,498.0,996.0,1494.0,0.3333333333333333,0.6666666666666666
08861,968.0,120.0,1088.0,0.8897058823529411,0.11029411764705882
10001,40956.0,12379.0,53335.0,0.7679010030936533,0.23209899690634667
10002,67431.0,16203.0,83634.0,0.8062630030848698,0.19373699691513022
10003,90826.0,65886.0,156712.0,0.5795727193833273,0.4204272806166726
10004,9601.0,3266.0,12867.0,0.7461723789539131,0.2538276210460869
10005,416.0,416.0,832.0,0.5,0.5
10007,1770.0,0.0,1770.0,1.0,0.0
10009,7545.0,5089.0,12634.0,0.5971980370429001,0.4028019629570999
10010,22918.0,5557.0,28475.0,0.8048463564530289,0.19515364354697104
10011,31034.0,26317.0,57351.0,0.5411239559903053,0.4588760440096947
10012,51384.0,36334.0,87718.0,0.5857862696367906,0.41421373036320935
10013,24298.0,14216.0,38514.0,0.6308874694916135,0.36911253050838655
10014,24321.0,13243.0,37564.0,0.6474550101160685,0.3525449898839314
10016,8486.0,1873.0,10359.0,0.8191910416063326,0.18080895839366734
10017,3232.0,8653.0,11885.0,0.2719394194362642,0.7280605805637358
10018,12572.0,1770.0,14342.0,0.8765862501743132,0.1234137498256868
10019,50229.0,26016.0,76245.0,0.6587841825693488,0.3412158174306512
10020,0.0,5818.0,5818.0,0.0,1.0
10021,13018.0,2785.0,15803.0,0.8237676390558755,0.17623236094412453
10022,6844.0,9113.0,15957.0,0.42890267594159304,0.571097324058407
10023,22844.0,9557.0,32401.0,0.7050399679022252,0.29496003209777477
10024,34175.0,10604.0,44779.0,0.7631925679447955,0.23680743205520444
10025,4518.0,4296.0,8814.0,0.5125936010891763,0.4874063989108237
10026,9594.0,7882.0,17476.0,0.5489814602883956,0.4510185397116045
10027,20450.0,7854.0,28304.0,0.7225127190503109,0.2774872809496891
10028,9299.0,7053.0,16352.0,0.568676614481409,0.431323385518591
10029,6552.0,2227.0,8779.0,0.7463264608725367,0.25367353912746327
10030,671.0,1557.0,2228.0,0.3011669658886894,0.6988330341113106
10031,7776.0,3986.0,11762.0,0.6611120557728277,0.3388879442271722
10032,382.0,462.0,844.0,0.45260663507109006,0.54739336492891
10033,2945.0,4337.0,7282.0,0.4044218621257896,0.5955781378742104
10034,5260.0,3309.0,8569.0,0.6138405881666472,0.3861594118333528
10035,1486.0,1632.0,3118.0,0.4765875561257216,0.5234124438742784
10036,29791.0,25415.0,55206.0,0.5396333731840742,0.46036662681592583
10038,1405.0,575.0,1980.0,0.7095959595959596,0.2904040404040404
10039,418.0,530.0,948.0,0.4409282700421941,0.5590717299578059
10040,843.0,2391.0,3234.0,0.2606679035250464,0.7393320964749536
10065,1564.0,1564.0,3128.0,0.5,0.5
10075,10530.0,2965.0,13495.0,0.7802889959244165,0.21971100407558355
10120,1362.0,2724.0,4086.0,0.3333333333333333,0.6666666666666666
10121,1070.0,2140.0,3210.0,0.3333333333333333,0.6666666666666666
10128,4861.0,1947.0,6808.0,0.7140129259694477,0.2859870740305523
10301,3276.0,2744.0,6020.0,0.5441860465116279,0.4558139534883721
10302,1543.0,2424.0,3967.0,0.38895891101588104,0.611041088984119
10303,552.0,433.0,985.0,0.5604060913705584,0.43959390862944164
10304,1676.0,1545.0,3221.0,0.5203352995963987,0.4796647004036014
10305,4965.0,4119.0,9084.0,0.5465653896961691,0.4534346103038309
10306,3895.0,3510.0,7405.0,0.5259959486833221,0.47400405131667794
10307,1358.0,890.0,2248.0,0.6040925266903915,0.3959074733096085
10308,2233.0,1852.0,4085.0,0.5466340269277846,0.45336597307221543
10309,2311.0,1928.0,4239.0,0.5451757489974051,0.45482425100259494
10310,2802.0,1496.0,4298.0,0.6519311307584923,0.3480688692415077
10312,1392.0,1318.0,2710.0,0.5136531365313654,0.4863468634686347
10314,2234.0,2648.0,4882.0,0.45759934453092993,0.54240065546907
10451,399.0,0.0,399.0,1.0,0.0
10452,453.0,585.0,1038.0,0.43641618497109824,0.5635838150289018
10454,1311.0,827.0,2138.0,0.6131898971000935,0.38681010289990647
10455,587.0,252.0,839.0,0.699642431466031,0.300357568533969
10456,194.0,194.0,388.0,0.5,0.5
10458,4342.0,4976.0,9318.0,0.4659798239965658,0.5340201760034342
10461,4143.0,807.0,4950.0,0.8369696969696969,0.16303030303030303
10462,4112.0,2977.0,7089.0,0.5800536041754831,0.41994639582451687
10463,6520.0,1491.0,8011.0,0.8138809137436025,0.18611908625639745
10464,3899.0,8157.0,12056.0,0.32340743198407434,0.6765925680159257
10465,2156.0,2228.0,4384.0,0.49178832116788324,0.5082116788321168
10466,1186.0,469.0,1655.0,0.7166163141993958,0.28338368580060425
10467,557.0,274.0,831.0,0.6702767749699158,0.3297232250300842
10468,0.0,1107.0,1107.0,0.0,1.0
10469,566.0,249.0,815.0,0.694478527607362,0.30552147239263805
10470,786.0,348.0,1134.0,0.6931216931216931,0.30687830687830686
10471,1057.0,556.0,1613.0,0.6553006819590824,0.3446993180409175
10472,1008.0,0.0,1008.0,1.0,0.0
10474,97.0,104.0,201.0,0.48258706467661694,0.5174129353233831
10475,278.0,0.0,278.0,1.0,0.0
10550,810.0,789.0,1599.0,0.5065666041275797,0.49343339587242024
10704,1743.0,674.0,2417.0,0.7211419114604882,0.2788580885395118
10705,658.0,899.0,1557.0,0.4226075786769428,0.5773924213230571
10803,897.0,964.0,1861.0,0.48199892530897365,0.5180010746910263
11001,2059.0,2548.0,4607.0,0.44692858693292814,0.5530714130670719
11003,192.0,164.0,356.0,0.5393258426966292,0.4606741573033708
11004,1659.0,352.0,2011.0,0.8249627051218299,0.17503729487817007
11021,1337.0,760.0,2097.0,0.6375774916547449,0.36242250834525513
11040,5860.0,3766.0,9626.0,0.6087679202160814,0.39123207978391855
11096,78.0,60.0,138.0,0.5652173913043478,0.43478260869565216
11101,8861.0,5305.0,14166.0,0.6255117887900608,0.3744882112099393
11102,1583.0,1153.0,2736.0,0.5785818713450293,0.42141812865497075
11103,19128.0,4637.0,23765.0,0.8048811277088155,0.19511887229118452
11104,3383.0,2969.0,6352.0,0.532588161209068,0.467411838790932
11105,22818.0,9249.0,32067.0,0.7115726447750024,0.2884273552249977
11106,10341.0,8098.0,18439.0,0.5608221703996963,0.4391778296003037
11109,4724.0,3874.0,8598.0,0.5494301000232612,0.4505698999767388
